seed,task,best_fixed_method,best_fixed_mse,oracle_mse,oracle_gain_abs,oracle_gain_rel_pct,uniform_mix_mse,uniform_mix_gain_abs,uniform_mix_gain_rel_pct,n_queries
0,piecewise_linear,window_soft,32.07301014264424,27.890264622370402,4.182745520273841,13.04132509443654,33.66232342720032,-1.5893132845560771,-4.955298169668608,15360
0,shifted_local_map,local_linear_attention,1.0214598663151264,0.8695245211711153,0.15193534514401108,14.874333310040996,1.236055925488472,-0.21459605917334557,-21.008760720819296,1024
0,smooth_nonlinear_local,linear_global,0.4153379055360953,0.29533049824337165,0.12000740729272363,28.893921236932297,0.4798702009022236,-0.06453229536612831,-15.537299751833046,15360
1,piecewise_linear,window_soft,31.92601070404053,27.807412830988564,4.118597873051964,12.90044632018719,33.471866607666016,-1.5458559036254869,-4.8419951930600735,15360
1,shifted_local_map,local_linear_attention,0.978672806173563,0.8326277013402432,0.14604510483331978,14.922771319694702,1.227072037756443,-0.24839923158288002,-25.38123364784978,1024
1,smooth_nonlinear_local,linear_global,0.4150377410153548,0.2987109844883283,0.11632675652702651,28.027994813783184,0.4799778344730536,-0.0649400934576988,-15.64679233720489,15360
2,piecewise_linear,window_soft,32.1909521261851,27.93546593983968,4.255486186345422,13.219510158209578,33.648016691207886,-1.4570645650227831,-4.526317082238653,15360
2,shifted_local_map,local_linear_attention,1.0678570996969938,0.9162606637692079,0.15159643592778593,14.196322332904062,1.291724756360054,-0.2238676566630602,-20.96419612011598,1024
2,smooth_nonlinear_local,linear_global,0.41485148246089615,0.2943748731166124,0.12047660934428372,29.040901247264998,0.47905476118127505,-0.0642032787203789,-15.476208097299178,15360
3,piecewise_linear,window_soft,32.06428815523783,27.868269411722817,4.196018743515015,13.08626819719239,33.52664011319478,-1.4623519579569475,-4.560687425453,15360
3,shifted_local_map,local_linear_attention,0.959561537951231,0.8354548562783748,0.12410668167285621,12.933686560409411,1.2336210310459137,-0.2740594930946827,-28.5609085249321,1024
3,smooth_nonlinear_local,linear_global,0.4044605945547422,0.2866838973015547,0.11777669725318751,29.119449172259696,0.46529463057716686,-0.06083403602242465,-15.04078193065876,15360
4,piecewise_linear,window_soft,32.157816918691,28.053961690266927,4.10385522842407,12.761610151585874,33.83583790461223,-1.6780209859212292,-5.218081159439395,15360
4,shifted_local_map,local_linear_attention,1.013142654672265,0.8630901698488742,0.15005248482339084,14.810597908537407,1.2471129149198532,-0.23397026024758816,-23.093515919855697,1024
4,smooth_nonlinear_local,linear_global,0.40474563191334406,0.28984727412462236,0.1148983577887217,28.387794389667782,0.4669477644066016,-0.06220213249325751,-15.36820353050159,15360
