task,best_fixed_loss,routed_loss,oracle_loss,oracle_gap_closed_frac,seed,router
piecewise_linear,32.272464752197266,31.9527587890625,29.162424087524414,0.10279800092851707,0,logistic
shifted_local_map,1.0309739112854004,1.0348148345947266,0.8999664783477783,-0.029318361738718983,0,logistic
smooth_nonlinear_local,0.4740435779094696,0.47226107120513916,0.38448068499565125,0.01990229040553275,0,logistic
piecewise_linear,32.272464752197266,31.62929344177246,29.162424087524414,0.2068047912461815,0,loss_mlp
shifted_local_map,1.0309739112854004,1.0131734609603882,0.8999664783477783,0.1358735907258615,0,loss_mlp
smooth_nonlinear_local,0.4740435779094696,0.44771578907966614,0.38448068499565125,0.29395866941387555,0,loss_mlp
piecewise_linear,32.12589645385742,31.788694381713867,29.037071228027344,0.10916838846164771,1,logistic
shifted_local_map,1.0366339683532715,1.0501614809036255,0.9115201234817505,-0.10812162766035496,1,logistic
smooth_nonlinear_local,0.4679846167564392,0.46293526887893677,0.377423495054245,0.055756242663457425,1,logistic
piecewise_linear,32.12589645385742,31.497106552124023,29.037071228027344,0.2035692717332105,1,loss_mlp
shifted_local_map,1.0366339683532715,1.0250698328018188,0.9115201234817505,0.09242890395805364,1,loss_mlp
smooth_nonlinear_local,0.4679846167564392,0.43990811705589294,0.377423495054245,0.31002817956335005,1,loss_mlp
piecewise_linear,31.96683692932129,31.59290885925293,28.91573715209961,0.12255517595981634,2,logistic
shifted_local_map,0.9644790887832642,0.9660419225692749,0.8532631993293762,-0.01405225272831829,2,logistic
smooth_nonlinear_local,0.4708029627799988,0.47111421823501587,0.38226979970932007,-0.0035156933766006438,2,logistic
piecewise_linear,31.96683692932129,31.31339454650879,28.91573715209961,0.21416617958247247,2,loss_mlp
shifted_local_map,0.9644790887832642,0.9488229155540466,0.8532631993293762,0.14077280958768804,2,loss_mlp
smooth_nonlinear_local,0.4708029627799988,0.4454807937145233,0.38226979970932007,0.28601902594692125,2,loss_mlp
