task,method,mse_mean,mse_std
piecewise_linear,knn_mean,38.102328322728475,0.19888546361437945
piecewise_linear,linear_attention,32.6330472056071,0.11605480781997694
piecewise_linear,linear_global,63.36116450309753,0.543564648084701
piecewise_linear,local_linear_attention,45.29204717000325,0.2811119042453784
piecewise_linear,oracle,27.91107489903768,0.09222629734875776
piecewise_linear,sharp,39.378742891947425,0.21526361604146024
piecewise_linear,soft,32.18046552658081,0.1101635629746336
piecewise_linear,uniform_mix,33.62893694877624,0.14090993015498227
piecewise_linear,window_soft,32.08241560935974,0.10288961893509899
shifted_local_map,knn_mean,1.3081818372011185,0.021390250904545927
shifted_local_map,linear_attention,1.7936264276504517,0.03454047392347169
shifted_local_map,linear_global,1.5337208343669773,0.03822205112854054
shifted_local_map,local_linear_attention,1.008138792961836,0.04182331846107882
shifted_local_map,oracle,0.8633915824815631,0.033762851614510106
shifted_local_map,sharp,1.29969465136528,0.014441260272527394
shifted_local_map,soft,1.5526996076107025,0.02613642535068741
shifted_local_map,uniform_mix,1.2471173331141472,0.02596218886340217
shifted_local_map,window_soft,1.3997137606143952,0.021667506554319708
smooth_nonlinear_local,knn_mean,0.6347595273951689,0.012000836092258752
smooth_nonlinear_local,linear_attention,0.510637925962607,0.006933674213421279
smooth_nonlinear_local,linear_global,0.4108866710960865,0.0057395866713616924
smooth_nonlinear_local,local_linear_attention,0.46841150398055714,0.007536677580642149
smooth_nonlinear_local,oracle,0.2929895054548979,0.004737328494000283
smooth_nonlinear_local,sharp,0.6356121474504471,0.012207085820243607
smooth_nonlinear_local,soft,0.5085740993916988,0.007074349597098063
smooth_nonlinear_local,uniform_mix,0.4742290383080642,0.007433027060683429
smooth_nonlinear_local,window_soft,0.5299512465794881,0.00713027018850572
